"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Jean (Hans) Arp","French",110,1954,2,6183,20," Dada "," Dada "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Jean (Hans) Arp","French",110,1954,2,6183,20," Surrealism "," Surrealism "
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss","1958-04-23","1958-05-18","Jean (Hans) Arp","French",25,1958,3,6183,20," Dada "," Dada "
"50 Selections from the Collection of Mr. and Mrs. Walter Bareiss","1958-04-23","1958-05-18","Jean (Hans) Arp","French",25,1958,3,6183,20," Surrealism "," Surrealism "
"Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art","1960-04-20",NA,"Jean (Hans) Arp","French",NA,1960,2,6183,20," Dada "," Dada "
"Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art","1960-04-20",NA,"Jean (Hans) Arp","French",NA,1960,2,6183,20," Surrealism "," Surrealism "
"New York Private Collections","1948-07-20","1948-09-12","Jean (Hans) Arp","French",54,1948,2,6183,20," Dada "," Dada "
"New York Private Collections","1948-07-20","1948-09-12","Jean (Hans) Arp","French",54,1948,2,6183,20," Surrealism "," Surrealism "
"From Le Corbusier to Niemeyer: 1929–1949","1949-02-15","1949-04-03","Jean (Hans) Arp","French",47,1949,3,6183,20," Dada "," Dada "
"From Le Corbusier to Niemeyer: 1929–1949","1949-02-15","1949-04-03","Jean (Hans) Arp","French",47,1949,3,6183,20," Surrealism "," Surrealism "
"Three Modern Styles","1950-07-11","1950-09-05","Jean (Hans) Arp","French",56,1950,1,6183,20," Dada "," Dada "
"Three Modern Styles","1950-07-11","1950-09-05","Jean (Hans) Arp","French",56,1950,1,6183,20," Surrealism "," Surrealism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Jean (Hans) Arp","French",47,1947,1,6183,20," Dada "," Dada "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Jean (Hans) Arp","French",47,1947,1,6183,20," Surrealism "," Surrealism "
"25 Recent Acquisitions","1973-01-22","1973-03-18","Jean (Hans) Arp","French",55,1973,3,6183,20," Dada "," Dada "
"25 Recent Acquisitions","1973-01-22","1973-03-18","Jean (Hans) Arp","French",55,1973,3,6183,20," Surrealism "," Surrealism "
"Sculpture of the XXth Century","1953-04-28","1953-09-07","Jean (Hans) Arp","French",132,1953,1,6183,20," Dada "," Dada "
"Sculpture of the XXth Century","1953-04-28","1953-09-07","Jean (Hans) Arp","French",132,1953,1,6183,20," Surrealism "," Surrealism "
"Abstraction-Création, Art Non-Figuratif","1977-09-20","1977-12-04","Jean (Hans) Arp","French",75,1977,2,6183,20," Dada "," Dada "
"Abstraction-Création, Art Non-Figuratif","1977-09-20","1977-12-04","Jean (Hans) Arp","French",75,1977,2,6183,20," Surrealism "," Surrealism "
"Modern Relief","1951-06-20","1951-07-15","Jean (Hans) Arp","French",25,1951,2,6183,20," Dada "," Dada "
"Modern Relief","1951-06-20","1951-07-15","Jean (Hans) Arp","French",25,1951,2,6183,20," Surrealism "," Surrealism "
"Four Recently Discovered Picabias and Other Modern Master Acquisitions","1980-01-25","1980-04-22","Jean (Hans) Arp","French",88,1980,1,6183,20," Dada "," Dada "
"Four Recently Discovered Picabias and Other Modern Master Acquisitions","1980-01-25","1980-04-22","Jean (Hans) Arp","French",88,1980,1,6183,20," Surrealism "," Surrealism "
"Words and Pictures","1981-08-20","1981-10-06","Jean (Hans) Arp","French",47,1981,1,6183,20," Dada "," Dada "
"Words and Pictures","1981-08-20","1981-10-06","Jean (Hans) Arp","French",47,1981,1,6183,20," Surrealism "," Surrealism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Jean (Hans) Arp","French",15,1982,1,6183,20," Dada "," Dada "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Jean (Hans) Arp","French",15,1982,1,6183,20," Surrealism "," Surrealism "
"Art of the Twenties","1979-11-14","1980-01-22","Jean (Hans) Arp","French",69,1979,1,6183,20," Dada "," Dada "
"Art of the Twenties","1979-11-14","1980-01-22","Jean (Hans) Arp","French",69,1979,1,6183,20," Surrealism "," Surrealism "
"Drawing in Austria and Germany","1985-05-26","1985-10-29","Jean (Hans) Arp","French",156,1985,2,6183,20," Dada "," Dada "
"Drawing in Austria and Germany","1985-05-26","1985-10-29","Jean (Hans) Arp","French",156,1985,2,6183,20," Surrealism "," Surrealism "
"Sculptors' Drawings","1986-04-26","1986-09-02","Jean (Hans) Arp","French",129,1986,1,6183,20," Dada "," Dada "
"Sculptors' Drawings","1986-04-26","1986-09-02","Jean (Hans) Arp","French",129,1986,1,6183,20," Surrealism "," Surrealism "
"Surrealist Prints from the Collection of The Museum of Modern Art","1987-08-06","1987-12-08","Jean (Hans) Arp","French",124,1987,2,6183,20," Dada "," Dada "
"Surrealist Prints from the Collection of The Museum of Modern Art","1987-08-06","1987-12-08","Jean (Hans) Arp","French",124,1987,2,6183,20," Surrealism "," Surrealism "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","Jean (Hans) Arp","French",117,1988,2,6183,20," Dada "," Dada "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","Jean (Hans) Arp","French",117,1988,2,6183,20," Surrealism "," Surrealism "
"Master Prints from the Collection","1989-04-06","1989-08-08","Jean (Hans) Arp","French",124,1989,2,6183,20," Dada "," Dada "
"Master Prints from the Collection","1989-04-06","1989-08-08","Jean (Hans) Arp","French",124,1989,2,6183,20," Surrealism "," Surrealism "
"European Drawings from the Collection","1972-06-27","1972-10-10","Jean (Hans) Arp","French",105,1972,3,6183,20," Dada "," Dada "
"European Drawings from the Collection","1972-06-27","1972-10-10","Jean (Hans) Arp","French",105,1972,3,6183,20," Surrealism "," Surrealism "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","Jean (Hans) Arp","French",51,1940,3,6183,20," Dada "," Dada "
"Paintings and Sculpture from the Museum Collection","1940-01-12","1940-03-03","Jean (Hans) Arp","French",51,1940,3,6183,20," Surrealism "," Surrealism "
"Prints by Sculptors","1975-05-21","1975-09-01","Jean (Hans) Arp","French",103,1975,1,6183,20," Dada "," Dada "
"Prints by Sculptors","1975-05-21","1975-09-01","Jean (Hans) Arp","French",103,1975,1,6183,20," Surrealism "," Surrealism "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Jean (Hans) Arp","French",90,1976,3,6183,20," Dada "," Dada "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Jean (Hans) Arp","French",90,1976,3,6183,20," Surrealism "," Surrealism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Jean (Hans) Arp","French",143,1939,1,6183,20," Dada "," Dada "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","Jean (Hans) Arp","French",143,1939,1,6183,20," Surrealism "," Surrealism "
"What is Modern Painting?","1945-03-06","1945-03-25","Jean (Hans) Arp","French",19,1945,2,6183,20," Dada "," Dada "
"What is Modern Painting?","1945-03-06","1945-03-25","Jean (Hans) Arp","French",19,1945,2,6183,20," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Jean (Hans) Arp","French",6,1941,3,6183,20," Dada "," Dada "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Jean (Hans) Arp","French",6,1941,3,6183,20," Surrealism "," Surrealism "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Jean (Hans) Arp","French",60,1942,2,6183,20," Dada "," Dada "
"Children's Festival of Modern Art","1942-03-11","1942-05-10","Jean (Hans) Arp","French",60,1942,2,6183,20," Surrealism "," Surrealism "
"Modern Drawings","1944-02-16","1944-05-10","Jean (Hans) Arp","French",84,1944,2,6183,20," Dada "," Dada "
"Modern Drawings","1944-02-16","1944-05-10","Jean (Hans) Arp","French",84,1944,2,6183,20," Surrealism "," Surrealism "
"Sculpture in Glass","1965-11-16","1966-01-02","Jean (Hans) Arp","French",47,1965,1,6183,20," Dada "," Dada "
"Sculpture in Glass","1965-11-16","1966-01-02","Jean (Hans) Arp","French",47,1965,1,6183,20," Surrealism "," Surrealism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Jean (Hans) Arp","French",75,1946,4,6183,20," Dada "," Dada "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Jean (Hans) Arp","French",75,1946,4,6183,20," Surrealism "," Surrealism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Jean (Hans) Arp","French",96,1969,1,6183,20," Dada "," Dada "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Jean (Hans) Arp","French",96,1969,1,6183,20," Surrealism "," Surrealism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Jean (Hans) Arp","French",161,1971,2,6183,20," Dada "," Dada "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Jean (Hans) Arp","French",161,1971,2,6183,20," Surrealism "," Surrealism "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Jean (Hans) Arp","French",189,1966,1,6183,20," Dada "," Dada "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Jean (Hans) Arp","French",189,1966,1,6183,20," Surrealism "," Surrealism "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Jean (Hans) Arp","French",47,1968,2,6183,20," Dada "," Dada "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Jean (Hans) Arp","French",47,1968,2,6183,20," Surrealism "," Surrealism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Jean (Hans) Arp","French",NA,1964,3,6183,20," Dada "," Dada "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Jean (Hans) Arp","French",NA,1964,3,6183,20," Surrealism "," Surrealism "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Jean (Hans) Arp","French",73,1983,2,6183,20," Dada "," Dada "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Jean (Hans) Arp","French",73,1983,2,6183,20," Surrealism "," Surrealism "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"Jean (Hans) Arp","French",NA,1984,2,6183,20," Dada "," Dada "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"Jean (Hans) Arp","French",NA,1984,2,6183,20," Surrealism "," Surrealism "
"Gallery Expansion and New Acquisitions","1952-12-23",NA,"Jean Dubuffet","French",NA,1952,1,5392,35," Pop Art "," Pop Art "
"Master Prints from the Museum Collection","1949-05-10","1949-07-10","Jean Dubuffet","French",61,1949,3,5392,35," Pop Art "," Pop Art "
"Prints from Europe and Japan; Etchings by Matisse","1955-05-04","1955-05-31","Jean Dubuffet","French",27,1955,2,5392,35," Pop Art "," Pop Art "
"Recent Acquisitions, 1968–1973","1973-06-15","1973-09-25","Jean Dubuffet","French",102,1973,2,5392,35," Pop Art "," Pop Art "
"Mrs. Simon Guggenheim, 1877–1970: In Memoriam","1970-02-25","1970-03-17","Jean Dubuffet","French",20,1970,1,5392,35," Pop Art "," Pop Art "
"XXVth Anniversary Exhibition: Paintings from the Museum Collection","1954-10-19","1955-02-06","Jean Dubuffet","French",110,1954,2,5392,35," Pop Art "," Pop Art "
"Members Collect","1967-03-27","1967-05-25","Jean Dubuffet","French",59,1967,1,5392,35," Pop Art "," Pop Art "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Jean Dubuffet","French",47,1968,4,5392,35," Pop Art "," Pop Art "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Jean Dubuffet","French",87,1974,1,5392,35," Pop Art "," Pop Art "
"In the Twenties","1975-03-21","1975-06-15","Jean Dubuffet","French",86,1975,3,5392,35," Pop Art "," Pop Art "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Jean Dubuffet","French",161,1971,2,5392,35," Pop Art "," Pop Art "
"Permanent Collection","1972-03-29",NA,"Jean Dubuffet","French",NA,1972,2,5392,35," Pop Art "," Pop Art "
"Jean Dubuffet: Recent Gifts","1969-02-17","1969-03-30","Jean Dubuffet","French",41,1969,4,5392,35," Pop Art "," Pop Art "
"Prints from Blocks: Gauguin to Now","1983-03-03","1983-05-15","Jean Dubuffet","French",73,1983,2,5392,35," Pop Art "," Pop Art "
"Drawing since 1940","1987-06-25","1987-10-13","Jean Dubuffet","French",110,1987,2,5392,35," Pop Art "," Pop Art "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","Jean Dubuffet","French",117,1988,1,5392,35," Pop Art "," Pop Art "
"The Expressionist Idiom","1985-05-06","1985-12-18","Jean Dubuffet","French",226,1985,1,5392,35," Pop Art "," Pop Art "
"Sculptors' Drawings","1986-04-26","1986-09-02","Jean Dubuffet","French",129,1986,3,5392,35," Pop Art "," Pop Art "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Jean Dubuffet","French",NA,1964,2,5392,35," Pop Art "," Pop Art "
"Recent Acquisitions: Painting and Sculpture","1965-02-16","1965-04-25","Jean Dubuffet","French",68,1965,3,5392,35," Pop Art "," Pop Art "
"Printed Art: A View of Two Decades","1980-02-13","1980-04-01","Jean Dubuffet","French",48,1980,1,5392,35," Pop Art "," Pop Art "
"Words and Pictures","1981-08-20","1981-10-06","Jean Dubuffet","French",47,1981,2,5392,35," Pop Art "," Pop Art "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Jean Dubuffet","French",15,1982,1,5392,35," Pop Art "," Pop Art "
"Drawings, Watercolors, Collages: New Acquisitions","1959-07-15","1959-10-15","Jean Dubuffet","French",92,1959,2,5392,35," Pop Art "," Pop Art "
"Art Lending Service Retrospective","1960-01-27","1960-03-20","Jean Dubuffet","French",53,1960,3,5392,35," Pop Art "," Pop Art "
"Selections from the Permanent Collection: Painting and Sculpture","1984-05-17",NA,"Jean Dubuffet","French",NA,1984,3,5392,35," Pop Art "," Pop Art "
"Recent European Acquisitions","1956-11-28","1957-01-20","Jean Dubuffet","French",53,1956,1,5392,35," Pop Art "," Pop Art "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Jean Dubuffet","French",67,1978,2,5392,35," Pop Art "," Pop Art "
"The Stage Show","1979-03-05","1979-05-29","Jean Dubuffet","French",85,1979,5,5392,35," Pop Art "," Pop Art "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Jean Dubuffet","French",31,1961,3,5392,35," Pop Art "," Pop Art "
"Jean Dubuffet","1962-02-21","1962-04-08","Jean Dubuffet","French",46,1962,3,5392,35," Pop Art "," Pop Art "
"Posters by Painters","1977-01-21","1977-03-23","Jean Dubuffet","French",61,1977,3,5392,35," Pop Art "," Pop Art "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","Jean Dubuffet","French",110,1989,4,5392,35," Pop Art "," Pop Art "
"Prints from the Collection","1976-05-14","1976-08-08","Jean Dubuffet","French",86,1976,4,5392,35," Pop Art "," Pop Art "
"The Sidney and Harriet Janis Collection","1968-01-17","1968-03-04","Jim Dine","American",47,1968,1,6224,18," Pop Art "," Pop Art "
"Etchings Etc.","1972-10-25","1973-02-05","Jim Dine","American",103,1972,2,6224,18," Pop Art "," Pop Art "
"Prints of the Sixties","1973-03-22","1973-05-09","Jim Dine","American",48,1973,5,6224,18," Pop Art "," Pop Art "
"Tatyana Grosman Gallery Inaugural Installation","1985-09-12","1986-02-04","Jim Dine","American",145,1985,4,6224,18," Pop Art "," Pop Art "
"Pop Art Prints, Drawings, and Multiples","1970-05-23","1970-08-31","Jim Dine","American",100,1970,1,6224,18," Pop Art "," Pop Art "
"Recent American Acquisitions","1971-02-11","1971-03-11","Jim Dine","American",28,1971,5,6224,18," Pop Art "," Pop Art "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"Jim Dine","American",NA,1984,3,6224,18," Pop Art "," Pop Art "
"Master Prints from the Collection","1989-04-06","1989-08-08","Jim Dine","American",124,1989,4,6224,18," Pop Art "," Pop Art "
"American Prints: 1913–1963","1974-12-03","1975-03-03","Jim Dine","American",90,1974,1,6224,18," Pop Art "," Pop Art "
"Drawings Acquisitions","1987-01-24","1987-06-14","Jim Dine","American",141,1987,5,6224,18," Pop Art "," Pop Art "
"Committed to Print","1988-01-31","1988-04-19","Jim Dine","American",79,1988,3,6224,18," Pop Art "," Pop Art "
"The Artist as His Subject","1967-04-28","1967-04-30","Jim Dine","American",2,1967,4,6224,18," Pop Art "," Pop Art "
"Prints: Acquisitions 1977–1981","1981-10-15","1982-01-03","Jim Dine","American",80,1981,1,6224,18," Pop Art "," Pop Art "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Jim Dine","American",15,1982,2,6224,18," Pop Art "," Pop Art "
"London/New York/Hollywood: A New Look in Prints","1966-09-13","1966-11-02","Jim Dine","American",50,1966,3,6224,18," Pop Art "," Pop Art "
"American Painters as New Lithographers","1964-05-27","1964-07-29","Jim Dine","American",63,1964,2,6224,18," Pop Art "," Pop Art "
"76 Jefferson","1975-09-11","1975-12-01","Jim Dine","American",81,1975,1,6224,18," Pop Art "," Pop Art "
"Recent Acquisitions: Contemporary Prints","1986-02-07","1986-07-08","Jim Dine","American",151,1986,2,6224,18," Pop Art "," Pop Art "
"Recent Acquisitions from the Department of Drawings","1983-02-10","1983-04-12","Jim Dine","American",61,1983,3,6224,18," Pop Art "," Pop Art "
"Posters by Painters","1977-01-21","1977-03-23","Jim Dine","American",61,1977,5,6224,18," Pop Art "," Pop Art "
"Art of the Twenties","1979-11-14","1980-01-22","Jim Dine","American",69,1979,1,6224,18," Pop Art "," Pop Art "
"Drawing Now: 1955–1975","1976-01-23","1976-03-09","Jim Dine","American",46,1976,4,6224,18," Pop Art "," Pop Art "
"Art for Corporations","1978-04-17","1978-07-04","Jim Dine","American",78,1978,5,6224,18," Pop Art "," Pop Art "
"Printed Art: A View of Two Decades","1980-02-13","1980-04-01","Jim Dine","American",48,1980,2,6224,18," Pop Art "," Pop Art "
"Paintings by 19 Living Americans","1929-12-12","1930-01-12","John Marin","American",31,1929,1,4639,47," Romanticism "," Romanticism "
"Collage: Selections from the Permanent Collection","1988-11-03","1989-02-28","John Marin","American",117,1988,1,4639,47," Romanticism "," Romanticism "
"Romantic Painting in America","1943-11-17","1944-02-06","John Marin","American",81,1943,1,4639,47," Romanticism "," Romanticism "
"Summer Exhibition: Painting and Sculpture","1930-06-15","1930-09-28","John Marin","American",105,1930,1,4639,47," Romanticism "," Romanticism "
"Watercolors: Selections from the Permanent Collection","1989-03-16","1989-07-04","John Marin","American",110,1989,3,4639,47," Romanticism "," Romanticism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","John Marin","American",75,1946,3,4639,47," Romanticism "," Romanticism "
"Alfred Stieglitz Exhibition: His Collection","1947-06-10","1947-08-31","John Marin","American",82,1947,1,4639,47," Romanticism "," Romanticism "
"Modern Drawings","1944-02-16","1944-05-10","John Marin","American",84,1944,2,4639,47," Romanticism "," Romanticism "
"What is Modern Painting?","1945-03-06","1945-03-25","John Marin","American",19,1945,2,4639,47," Romanticism "," Romanticism "
"Summer Exhibition: Painting and Sculpture","1932-06-07","1932-10-30","John Marin","American",145,1932,3,4639,47," Romanticism "," Romanticism "
"Color Reproductions: Modern Watercolors and Pastels","1934-08-13","1934-09-21","John Marin","American",39,1934,2,4639,47," Romanticism "," Romanticism "
"American Paintings from the Museum Collection","1948-12-23","1949-03-13","John Marin","American",80,1948,1,4639,47," Romanticism "," Romanticism "
"Pictures for Children Aged 3–12 Years","1949-03-18","1949-04-17","John Marin","American",30,1949,2,4639,47," Romanticism "," Romanticism "
"Painting, Sculpture, Prints","1939-05-10","1939-09-30","John Marin","American",143,1939,1,4639,47," Romanticism "," Romanticism "
"American Watercolors; Lettering and Arrangements in Poster Design","1941-08-12","1941-08-25","John Marin","American",13,1941,1,4639,47," Romanticism "," Romanticism "
"Philip L. Goodwin Collection","1958-10-08","1958-11-09","John Marin","American",32,1958,1,4639,47," Romanticism "," Romanticism "
"American Acquisitions: Recent Additions of Prints to the Museum Collection","1959-04-02","1959-05-31","John Marin","American",59,1959,1,4639,47," Romanticism "," Romanticism "
"America Seen: Between The Wars","1961-04-25","1961-08-07","John Marin","American",104,1961,2,4639,47," Romanticism "," Romanticism "
"Manhattan Observed","1968-03-22","1968-07-01","John Marin","American",101,1968,1,4639,47," Romanticism "," Romanticism "
"American Drawings and Watercolors: A Selection from the Collection","1969-12-24","1970-03-01","John Marin","American",67,1969,1,4639,47," Romanticism "," Romanticism "
"Summer Show","1971-07-06","1971-09-15","John Marin","American",71,1971,2,4639,47," Romanticism "," Romanticism "
"Drawn in America","1972-03-01","1972-05-29","John Marin","American",89,1972,1,4639,47," Romanticism "," Romanticism "
"American Prints: 1913–1963","1974-12-03","1975-03-03","John Marin","American",90,1974,1,4639,47," Romanticism "," Romanticism "
"Points of View","1975-03-07","1975-06-08","John Marin","American",93,1975,1,4639,47," Romanticism "," Romanticism "
"Cubism and Its Affinities","1976-02-09","1976-05-09","John Marin","American",90,1976,3,4639,47," Romanticism "," Romanticism "
"New York/New York","1978-09-11","1978-11-13","John Marin","American",63,1978,1,4639,47," Romanticism "," Romanticism "
"Views over America","1979-06-04","1979-07-30","John Marin","American",56,1979,2,4639,47," Romanticism "," Romanticism "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","John Marin","American",69,1983,1,4639,47," Romanticism "," Romanticism "
"Selections from the Permanent Collection: Drawings","1984-05-17",NA,"John Marin","American",NA,1984,2,4639,47," Romanticism "," Romanticism "
"American Prints: 1900–1960; Recent Acquisitions: Illustrated Books","1985-12-18","1986-05-20","John Marin","American",153,1985,1,4639,47," Romanticism "," Romanticism "
"Drawings Acquisitions","1987-01-24","1987-06-14","John Marin","American",141,1987,1,4639,47," Romanticism "," Romanticism "
"Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan","1937-06-23","1937-11-04","John Marin","American",134,1937,3,4639,47," Romanticism "," Romanticism "
"Painting and Sculpture from the Museum Collection","1950-08-29","1950-10-15","John Marin","American",47,1950,1,4639,47," Romanticism "," Romanticism "
"Abstract Painting and Sculpture in America","1951-01-23","1951-03-25","John Marin","American",61,1951,2,4639,47," Romanticism "," Romanticism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","John Marin","American",33,1936,3,4639,47," Romanticism "," Romanticism "
"Works from the Museum Collection","1952-08-12","1952-09-21","John Marin","American",40,1952,2,4639,47," Romanticism "," Romanticism "
"Three Centuries of American Art","1938-05-24","1938-07-31","John Marin","American",68,1938,1,4639,47," Romanticism "," Romanticism "
"Paintings from Private Collections","1955-05-31","1955-09-07","John Marin","American",99,1955,2,4639,47," Romanticism "," Romanticism "
"Thirteen Watercolors by John Marin","1953-10-09",NA,"John Marin","American",NA,1953,1,4639,47," Romanticism "," Romanticism "
"American Prints of the 20th Century","1954-09-08","1954-11-28","John Marin","American",81,1954,2,4639,47," Romanticism "," Romanticism "
"Summer Exhibition: Painting and Sculpture","1933-07-10","1933-09-30","Juan Gris","Spanish",82,1933,2,6003,22," Cubism "," Cubism "
"Reinstallation of the Collection","1980-10-23",NA,"Juan Gris","Spanish",NA,1980,2,6003,22," Cubism "," Cubism "
"New Acquisitions and Extended Loans: Cubist and Abstract Art","1942-03-25","1942-05-03","Juan Gris","Spanish",39,1942,1,6003,22," Cubism "," Cubism "
"Modern Works of Art: 5th Anniversary Exhibition","1934-11-19","1935-01-20","Juan Gris","Spanish",62,1934,1,6003,22," Cubism "," Cubism "
"A Century of Modern Drawing, 1881–1981","1982-03-01","1982-03-16","Juan Gris","Spanish",15,1982,2,6003,22," Cubism "," Cubism "
"The Modern Drawing: 100 Works on Paper from The Museum of Modern Art","1983-10-26","1984-01-03","Juan Gris","Spanish",69,1983,1,6003,22," Cubism "," Cubism "
"New Acquisitions","1947-08-05","1947-09-30","Juan Gris","Spanish",56,1947,1,6003,22," Cubism "," Cubism "
"Modern Drawings","1944-02-16","1944-05-10","Juan Gris","Spanish",84,1944,2,6003,22," Cubism "," Cubism "
"What is Modern Painting?","1945-03-06","1945-03-25","Juan Gris","Spanish",19,1945,2,6003,22," Cubism "," Cubism "
"The Museum Collection of Painting","1946-02-19","1946-05-05","Juan Gris","Spanish",75,1946,3,6003,22," Cubism "," Cubism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Juan Gris","Spanish",33,1936,2,6003,22," Cubism "," Cubism "
"New Acquisitions","1948-01-13","1948-03-21","Juan Gris","Spanish",68,1948,4,6003,22," Cubism "," Cubism "
"Selections from 5 New York Private Collections","1951-06-26","1951-09-09","Juan Gris","Spanish",75,1951,1,6003,22," Cubism "," Cubism "
"Summer Exhibition: The Museum Collection and a Private Collection on Loan","1935-06-04","1935-09-24","Juan Gris","Spanish",112,1935,1,6003,22," Cubism "," Cubism "
"Painting and Sculpture from the Museum Collection","1941-04-30","1941-05-06","Juan Gris","Spanish",6,1941,2,6003,22," Cubism "," Cubism "
"Fifty Modern Paintings and Sculpture Especially Donated for the Benefit of the 30th Anniversary Fund of The Museum of Modern Art","1960-04-20",NA,"Juan Gris","Spanish",NA,1960,4,6003,22," Cubism "," Cubism "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Juan Gris","Spanish",31,1961,2,6003,22," Cubism "," Cubism "
"Fifty Drawings: Recent Acquisitions","1962-04-10","1962-08-12","Juan Gris","Spanish",124,1962,1,6003,22," Cubism "," Cubism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Juan Gris","Spanish",NA,1964,2,6003,22," Cubism "," Cubism "
"The School of Paris: Paintings from the Florence May Schoenborn and Samuel A. Marx Collection","1965-11-02","1966-01-02","Juan Gris","Spanish",61,1965,1,6003,22," Cubism "," Cubism "
"Drawings from the Museum Collection","1966-10-31","1967-05-08","Juan Gris","Spanish",189,1966,2,6003,22," Cubism "," Cubism "
"Five Major Loans: Paintings lent by Mrs. Bertram Smith and Norton Simon","1968-08-30","1968-11-11","Juan Gris","Spanish",73,1968,1,6003,22," Cubism "," Cubism "
"Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","1969-05-28","1969-09-01","Juan Gris","Spanish",96,1969,2,6003,22," Cubism "," Cubism "
"Four Americans in Paris: The Collections of Gertrude Stein and her Family","1970-12-19","1971-03-01","Juan Gris","Spanish",72,1970,1,6003,22," Cubism "," Cubism "
"A Selection of Drawings and Watercolors from the Museum Collection","1971-05-11","1971-10-19","Juan Gris","Spanish",161,1971,2,6003,22," Cubism "," Cubism "
"Permanent Collection","1972-03-29",NA,"Juan Gris","Spanish",NA,1972,2,6003,22," Cubism "," Cubism "
"Works on Paper","1973-03-07","1973-06-04","Juan Gris","Spanish",89,1973,3,6003,22," Cubism "," Cubism "
"Seurat to Matisse: Drawing in France","1974-06-13","1974-09-08","Juan Gris","Spanish",87,1974,1,6003,22," Cubism "," Cubism "
"A Museum Menagerie","1975-12-09","1976-03-07","Juan Gris","Spanish",89,1975,1,6003,22," Cubism "," Cubism "
"Cubism and Its Affinities","1976-02-09","1976-05-09","Juan Gris","Spanish",90,1976,3,6003,22," Cubism "," Cubism "
"A Treasury of Modern Drawing: The Joan and Lester Avnet Collection","1978-04-28","1978-07-04","Juan Gris","Spanish",67,1978,2,6003,22," Cubism "," Cubism "
