"ExhTitle","StartDate","EndDate","DisplayName","Nationality","ExhibitionLength","StartYear","count","LifetimeExhibitionLength","Rank","movement","Movement"
"The 28th Annual Exhibition of Advertising and Editorial Art of the New York Art Directors Club","1949-03-15","1949-04-17","Ben Shahn","American",33,1949,6,6045,21," Social Realism "," Social Realism "
"Painters for the Theatre: An Invitation to the Theatre Arts Collection","1973-11-19","1974-01-13","Ben Shahn","American",55,1973,2,6045,21," Social Realism "," Social Realism "
"American Prints: 1913–1963","1974-12-03","1975-03-03","Ben Shahn","American",90,1974,1,6045,21," Social Realism "," Social Realism "
"Homage to Ben Shahn","1969-04-02","1969-05-11","Ben Shahn","American",39,1969,2,6045,21," Social Realism "," Social Realism "
"The Artist as Adversary","1971-07-01","1971-09-27","Ben Shahn","American",88,1971,2,6045,21," Social Realism "," Social Realism "
"Painting and Sculpture from the Museum Collection","1964-05-27",NA,"Ben Shahn","American",NA,1964,5,6045,21," Social Realism "," Social Realism "
"Committed to Print","1988-01-31","1988-04-19","Ben Shahn","American",79,1988,2,6045,21," Social Realism "," Social Realism "
"Between World Wars: Drawing in Europe and America","1976-08-20","1976-11-14","Ben Shahn","American",86,1976,2,6045,21," Social Realism "," Social Realism "
"Posters by Painters","1977-01-21","1977-03-23","Ben Shahn","American",61,1977,2,6045,21," Social Realism "," Social Realism "
"The Artists' New York","1942-01-28","1942-03-02","Ben Shahn","American",33,1942,2,6045,21," Social Realism "," Social Realism "
"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.","1936-01-14","1936-02-16","Ben Shahn","American",33,1936,1,6045,21," Social Realism "," Social Realism "
"Painters for the Theater","1989-07-14","1989-11-01","Ben Shahn","American",110,1989,1,6045,21," Social Realism "," Social Realism "
"Murals by American Painters and Photographers","1932-05-03","1932-05-31","Ben Shahn","American",28,1932,1,6045,21," Social Realism "," Social Realism "
"Portraits in Prints","1948-06-01","1948-09-06","Ben Shahn","American",97,1948,3,6045,21," Social Realism "," Social Realism "
"Americans 1943: Realists and Magic-Realists","1943-02-10","1943-03-21","Ben Shahn","American",39,1943,1,6045,21," Social Realism "," Social Realism "
"PM Competition: The Artist as Reporter","1940-04-15","1940-05-07","Ben Shahn","American",22,1940,2,6045,21," Social Realism "," Social Realism "
"A History of the Modern Poster","1941-06-11","1941-06-26","Ben Shahn","American",15,1941,1,6045,21," Social Realism "," Social Realism "
"Drawings Recently Acquired for the Museum Collection","1957-01-29","1957-02-24","Ben Shahn","American",26,1957,2,6045,21," Social Realism "," Social Realism "
"Large-Scale Modern Paintings","1947-04-01","1947-05-04","Ben Shahn","American",33,1947,2,6045,21," Social Realism "," Social Realism "
"American Prints: 1900–1960; Recent Acquisitions: Illustrated Books","1985-12-18","1986-05-20","Ben Shahn","American",153,1985,1,6045,21," Social Realism "," Social Realism "
"46 Painters and Sculptors under 35 Years of Age","1930-04-11","1930-04-27","Ben Shahn","American",16,1930,1,6045,21," Social Realism "," Social Realism "
"Painting and Sculpture from the James Thrall Soby Collection","1961-02-01","1961-03-04","Ben Shahn","American",31,1961,2,6045,21," Social Realism "," Social Realism "
"Photographs from the Museum Collection","1958-11-26","1959-01-18","Ben Shahn","American",53,1958,1,6045,21," Social Realism "," Social Realism "
"American Acquisitions: Recent Additions of Prints to the Museum Collection","1959-04-02","1959-05-31","Ben Shahn","American",59,1959,3,6045,21," Social Realism "," Social Realism "
"Art Lending Service Retrospective","1960-01-27","1960-03-20","Ben Shahn","American",53,1960,4,6045,21," Social Realism "," Social Realism "
"Artists and Writers","1978-07-10","1978-10-03","Ben Shahn","American",85,1978,1,6045,21," Social Realism "," Social Realism "
"Fifty Drawings: Recent Acquisitions","1962-04-10","1962-08-12","Ben Shahn","American",124,1962,4,6045,21," Social Realism "," Social Realism "
"Towards the ""New"" Museum of Modern Art: A Bid for Space IV","1963-02-21",NA,"Ben Shahn","American",NA,1963,1,6045,21," Social Realism "," Social Realism "
"Recent Acquisitions: Drawings","1981-03-19","1981-06-02","Ben Shahn","American",75,1981,1,6045,21," Social Realism "," Social Realism "
"Paintings from New York Private Collections","1946-07-02","1946-09-22","Ben Shahn","American",82,1946,2,6045,21," Social Realism "," Social Realism "
"Three Centuries of American Art","1938-05-24","1938-07-31","Ben Shahn","American",68,1938,1,6045,21," Social Realism "," Social Realism "
"A Penthouse Aviary","1980-11-06","1981-01-20","Ben Shahn","American",75,1980,1,6045,21," Social Realism "," Social Realism "
"Recent Acquisitions","1945-02-15","1945-03-18","Ben Shahn","American",31,1945,3,6045,21," Social Realism "," Social Realism "
"Gifts of Drawing","1979-08-09","1979-11-13","Ben Shahn","American",96,1979,1,6045,21," Social Realism "," Social Realism "
"Modern Drawings","1944-02-16","1944-05-10","Ben Shahn","American",84,1944,2,6045,21," Social Realism "," Social Realism "
"Murals by American Painters and Photographers","1932-05-03","1932-05-31","Charles Sheeler","American",28,1932,2,6351,16," Precisionism "," Precisionism "
"Drawings in the Collection of The Museum of Modern Art","1947-04-15","1947-06-01","Charles Sheeler","American",47,1947,2,6351,16," Precisionism "," Precisionism "
